CONV_VALCH1 (N),CONV_VALCH2 (N),CONV_VALCH3 (N),TIMESTAMP (us)
-3.9368,-5.9061,-5.3064,5000,
-3.8068,-5.8310,-5.2753,10000,
-3.7756,-5.7211,-5.3146,15000,
-3.8177,-5.7257,-5.2808,20000,
-3.7646,-5.7101,-5.2863,25000,
-3.8773,-5.7248,-5.3082,30000,
-3.8123,-5.7413,-5.2972,35000,
-3.6154,-5.9070,-5.3192,40000,
-3.8095,-5.7312,-5.2927,45000,
-3.9706,-5.7495,-5.3101,50000,
-3.9020,-5.7431,-5.2899,55000,
-3.8031,-5.7220,-5.2936,60000,
-3.7244,-5.8447,-5.3046,65000,
-3.8004,-5.7349,-5.2863,70000,
-3.7939,-5.7404,-5.2863,75000,
-3.8580,-5.7239,-5.3275,80000,
-3.8562,-5.7330,-5.2890,85000,
-3.8489,-5.6708,-5.3091,90000,
-3.7088,-5.6845,-5.3860,95000,
-3.6996,-5.6296,-5.2451,100000,
-4.0897,-5.8722,-5.1672,105000,
-3.9001,-5.8200,-5.2579,110000,
-3.7729,-5.7504,-5.2808,115000,
-3.8507,-5.7458,-5.2881,120000,
-3.8324,-5.7504,-5.2917,125000,
-3.9871,-5.7349,-5.2826,130000,
-3.7500,-5.7358,-5.1810,135000,
-3.7216,-5.6863,-5.3311,140000,
-4.0649,-5.5710,-5.3183,145000,
-3.8351,-5.7111,-5.2716,150000,
-4.0018,-5.7367,-5.2863,155000,
-3.8031,-5.7312,-5.3000,160000,
-3.8031,-5.7294,-5.3046,165000,
-3.8022,-5.7230,-5.2734,170000,
-3.8324,-5.5737,-5.1700,175000,
-3.6942,-5.8182,-5.3238,180000,
-3.6667,-5.7431,-5.2734,185000,
-3.8599,-5.7349,-5.2835,190000,
-3.8232,-5.7220,-5.2844,195000,
-3.9468,-5.7422,-5.2798,200000,
-3.8196,-5.7413,-5.2817,205000,
-3.8068,-5.7330,-5.2917,210000,
-3.7445,-5.6479,-5.2625,215000,
-3.8553,-5.7605,-5.2826,220000,
-3.8672,-5.7147,-5.3284,225000,
-3.7976,-5.7028,-5.2954,230000,
-3.7683,-5.7294,-5.2844,235000,
-3.7473,-5.7285,-5.2835,240000,
-3.7527,-5.7495,-5.2853,245000,
-3.8031,-5.7312,-5.2954,250000,
-4.0274,-5.7321,-5.2917,255000,
-3.7747,-5.7321,-5.2725,260000,
-3.9020,-5.5527,-5.2240,265000,
