CONV_VALUE (V),TIMESTAMP (us)
93.6651,0,
94.2462,10000,
93.9076,15000,
94.1958,20000,
93.9533,25000,
94.1409,30000,
93.8389,35000,
94.7907,40000,
93.8389,45000,
94.9279,50000,
93.6559,55000,
93.9899,60000,
93.9899,65000,
93.8435,70000,
93.9899,75000,
93.6193,80000,
94.1318,85000,
93.8206,90000,
94.7678,95000,
94.4017,100000,
94.3606,105000,
93.6605,110000,
94.0357,115000,
93.9991,120000,
94.1638,125000,
94.8090,130000,
93.9350,135000,
94.3926,140000,
92.6310,145000,
93.5964,150000,
94.1638,155000,
94.1135,160000,
93.9579,165000,
93.9991,170000,
93.5278,175000,
94.0952,180000,
95.0286,185000,
94.1958,190000,
93.8847,195000,
94.9051,200000,
94.1592,205000,
94.0769,210000,
94.3423,215000,
94.1730,220000,
94.2965,225000,
94.0997,230000,
93.9899,235000,
93.8710,240000,
93.9716,245000,
94.0220,250000,
94.2553,255000,
93.9305,260000,
92.6035,265000,
94.1821,270000,
94.7449,275000,
94.1318,280000,
93.9167,285000,
94.7403,290000,
94.0357,295000,
94.1409,300000,
94.8639,305000,
93.8801,310000,
94.0952,315000,
94.0311,320000,
94.0677,325000,
94.0174,330000,
94.0677,335000,
93.8710,340000,
94.0769,345000,
94.0357,350000,
94.4246,355000,
94.0906,360000,
94.7358,365000,
93.9716,370000,
94.4063,375000,
94.0403,380000,
94.5665,385000,
94.0448,390000,
94.0677,395000,
94.0997,400000,
94.2553,405000,
94.0677,410000,
94.5665,415000,
94.0448,420000,
93.6010,425000,
93.8801,430000,
93.9991,435000,
95.0881,440000,
93.7017,445000,
94.1592,450000,
94.2324,455000,
94.1135,460000,
93.9762,465000,
93.9991,470000,
94.0082,475000,
94.2828,480000,
93.9716,485000,
93.9671,490000,
94.0586,495000,
93.8389,500000,
94.2187,505000,
93.9671,510000,
94.0997,515000,
94.2004,520000,
93.9945,525000,
94.0494,530000,
93.9213,535000,
94.1684,540000,
93.9259,545000,
94.0220,550000,
94.1226,555000,
94.0677,560000,
94.0082,565000,
93.9350,570000,
93.9579,575000,
94.2233,580000,
93.9488,585000,
93.9991,590000,
94.1318,595000,
94.0494,600000,
94.0357,605000,
94.1501,610000,
94.0769,615000,
94.2004,620000,
94.0128,625000,
94.0037,630000,
93.9442,635000,
93.8435,640000,
94.0448,645000,
93.9213,650000,
94.3468,655000,
93.9991,660000,
93.9305,665000,
94.0448,670000,
94.1180,675000,
93.8435,680000,
94.1180,685000,
94.0586,690000,
94.0906,695000,
93.9991,700000,
94.4155,705000,
94.0540,710000,
93.9396,715000,
93.9945,720000,
94.0906,725000,
94.0494,730000,
93.8984,735000,
94.0174,740000,
93.9533,745000,
94.2599,750000,
94.3514,755000,
94.1043,760000,
93.9533,765000,
94.1272,770000,
94.0174,775000,
94.0952,780000,
94.3926,785000,
94.1180,790000,
94.0723,795000,
93.9350,800000,
94.2691,805000,
94.0220,810000,
94.0311,815000,
94.1180,820000,
93.9396,825000,
94.1043,830000,
94.1775,835000,
93.8664,840000,
94.0677,845000,
93.8527,850000,
94.2507,855000,
94.0586,860000,
93.9945,865000,
94.0677,870000,
93.9945,875000,
94.1409,880000,
94.0357,885000,
93.9945,890000,
94.0540,895000,
94.0814,900000,
94.2691,905000,
94.0677,910000,
94.2279,915000,
93.9167,920000,
94.1821,925000,
93.9899,930000,
94.1364,935000,
93.9716,940000,
93.9671,945000,
93.9579,950000,
94.3423,955000,
94.0174,960000,
94.1089,965000,
94.0860,970000,
93.9533,975000,
94.0906,980000,
93.9671,985000,
93.9442,990000,
93.9030,995000,
94.0586,1000000,
94.2553,1005000,
94.0037,1010000,
94.0448,1015000,
94.0631,1020000,
94.0814,1025000,
94.0174,1030000,
93.8984,1035000,
93.9716,1040000,
94.0677,1045000,
94.1089,1050000,
94.2691,1055000,
93.9396,1060000,
93.9167,1065000,
94.0311,1070000,
94.0311,1075000,
94.0769,1080000,
94.1135,1085000,
93.9167,1090000,
94.0540,1095000,
93.9716,1100000,
94.2233,1105000,
94.1364,1110000,
94.0128,1115000,
93.9899,1120000,
94.0540,1125000,
93.8572,1130000,
93.9213,1135000,
94.1638,1140000,
93.9259,1145000,
94.0265,1150000,
94.2645,1155000,
94.0265,1160000,
93.9625,1165000,
94.1135,1170000,
94.1501,1175000,
93.8435,1180000,
94.1272,1185000,
93.9579,1190000,
93.9350,1195000,
93.9716,1200000,
94.3285,1205000,
94.0540,1210000,
94.0860,1215000,
93.9076,1220000,
94.0494,1225000,
94.0357,1230000,
93.8435,1235000,
93.9671,1240000,
94.1409,1245000,
93.9991,1250000,
94.2645,1255000,
94.0357,1260000,
94.0403,1265000,
93.9076,1270000,
93.9533,1275000,
93.8755,1280000,
94.3468,1285000,
95.0194,1290000,
94.1364,1295000,
94.0586,1300000,
94.4475,1305000,
94.1867,1310000,
93.9533,1315000,
93.8801,1320000,
94.1272,1325000,
93.9671,1330000,
94.1364,1335000,
94.2782,1340000,
94.2324,1345000,
94.0082,1350000,
94.0997,1355000,
93.9899,1360000,
93.8801,1365000,
94.1318,1370000,
93.9442,1375000,
93.8938,1380000,
94.0174,1385000,
94.0265,1390000,
94.0723,1395000,
93.8298,1400000,
94.1821,1405000,
94.1730,1410000,
94.0265,1415000,
94.2050,1420000,
93.9625,1425000,
93.9854,1430000,
94.4383,1435000,
94.0311,1440000,
94.2050,1445000,
93.9991,1450000,
94.2370,1455000,
94.0357,1460000,
94.1180,1465000,
94.0403,1470000,
94.0997,1475000,
94.0997,1480000,
94.0952,1485000,
94.2233,1490000,
94.0860,1495000,
93.9350,1500000,
94.3011,1505000,
94.0082,1510000,
94.0586,1515000,
93.9579,1520000,
93.8801,1525000,
94.3194,1530000,
94.1272,1535000,
93.8618,1540000,
94.0814,1545000,
94.0174,1550000,
94.1592,1555000,
93.8298,1560000,
94.0448,1565000,
94.1409,1570000,
93.9945,1575000,
94.1180,1580000,
93.8893,1585000,
94.1958,1590000,
94.0037,1595000,
94.0174,1600000,
94.2462,1605000,
94.0677,1610000,
94.1592,1615000,
93.9533,1620000,
93.9350,1625000,
93.9488,1630000,
94.0037,1635000,
93.8023,1640000,
94.0403,1645000,
94.0082,1650000,
94.2416,1655000,
94.1455,1660000,
93.9305,1665000,
93.9671,1670000,
93.8664,1675000,
93.8893,1680000,
93.9991,1685000,
93.9488,1690000,
93.9167,1695000,
94.0906,1700000,
94.2782,1705000,
93.9213,1710000,
94.1913,1715000,
94.0265,1720000,
93.8893,1725000,
94.1089,1730000,
94.1867,1735000,
94.0037,1740000,
93.9762,1745000,
93.9762,1750000,
94.3377,1755000,
94.1089,1760000,
93.9625,1765000,
94.1318,1770000,
93.9899,1775000,
94.1364,1780000,
94.1364,1785000,
93.9762,1790000,
94.0265,1795000,
94.1775,1800000,
94.3651,1805000,
94.1638,1810000,
93.9442,1815000,
94.0906,1820000,
94.0723,1825000,
93.8664,1830000,
93.9121,1835000,
93.9671,1840000,
94.1821,1845000,
94.3468,1850000,
94.3285,1855000,
94.1592,1860000,
94.0769,1865000,
94.0174,1870000,
94.0677,1875000,
93.9396,1880000,
94.0494,1885000,
94.1409,1890000,
93.9533,1895000,
93.9121,1900000,
94.3514,1905000,
93.9762,1910000,
94.0997,1915000,
93.9442,1920000,
94.1318,1925000,
94.0952,1930000,
94.0769,1935000,
94.1364,1940000,
94.0174,1945000,
94.0814,1950000,
94.2050,1955000,
93.9671,1960000,
94.1364,1965000,
94.1821,1970000,
94.0769,1975000,
94.1409,1980000,
93.9716,1985000,
94.0677,1990000,
94.1318,1995000,
93.9259,2000000,
94.0174,2005000,
94.0860,2010000,
93.9991,2015000,
93.9259,2020000,
93.9762,2025000,
93.9762,2030000,
94.0265,2035000,
93.9945,2040000,
93.8847,2045000,
93.8755,2050000,
94.2645,2055000,
93.9396,2060000,
94.0769,2065000,
94.0357,2070000,
94.0540,2075000,
94.1135,2080000,
93.9488,2085000,
93.9762,2090000,
94.0997,2095000,
94.2141,2100000,
94.3011,2105000,
94.1272,2110000,
93.9396,2115000,
94.0494,2120000,
94.1958,2125000,
94.1272,2130000,
93.9442,2135000,
94.0174,2140000,
94.0723,2145000,
94.0906,2150000,
94.2141,2155000,
93.8527,2160000,
94.0814,2165000,
94.0357,2170000,
94.1089,2175000,
94.0952,2180000,
94.0997,2185000,
93.9762,2190000,
94.0540,2195000,
94.0814,2200000,
94.1913,2205000,
94.1684,2210000,
94.0677,2215000,
94.0403,2220000,
94.0357,2225000,
93.9671,2230000,
94.1180,2235000,
94.0128,2240000,
94.0631,2245000,
94.2691,2250000,
94.2736,2255000,
94.0448,2260000,
94.0220,2265000,
94.0403,2270000,
93.9579,2275000,
93.9808,2280000,
94.1180,2285000,
94.1180,2290000,
93.9808,2295000,
94.1180,2300000,
94.1867,2305000,
93.8893,2310000,
93.9442,2315000,
93.9259,2320000,
94.0997,2325000,
94.0540,2330000,
94.0494,2335000,
93.9030,2340000,
94.0220,2345000,
94.0906,2350000,
94.2096,2355000,
94.0311,2360000,
94.0082,2365000,
94.1455,2370000,
94.1409,2375000,
93.9899,2380000,
93.9579,2385000,
93.9762,2390000,
93.9442,2395000,
94.1318,2400000,
94.2507,2405000,
94.0128,2410000,
94.0448,2415000,
94.1180,2420000,
94.0494,2425000,
94.0448,2430000,
93.9076,2435000,
94.1272,2440000,
94.0128,2445000,
94.0403,2450000,
94.2873,2455000,
94.0037,2460000,
93.9762,2465000,
94.2462,2470000,
94.0814,2475000,
93.9213,2480000,
94.1272,2485000,
94.1226,2490000,
93.9625,2495000,
93.9945,2500000,
94.2919,2505000,
94.1043,2510000,
94.0128,2515000,
93.8435,2520000,
93.9442,2525000,
94.1867,2530000,
94.2050,2535000,
94.1455,2540000,
94.1226,2545000,
93.9259,2550000,
94.3240,2555000,
93.9533,2565000,
93.3814,2570000,
94.0448,2575000,
94.0128,2580000,
93.9533,2585000,
94.0128,2590000,
93.8389,2595000,
94.3011,2600000,
94.9508,2605000,
94.0586,2610000,
94.3377,2615000,
94.1684,2620000,
93.9579,2625000,
94.0631,2630000,
94.1318,2635000,
94.0403,2640000,
93.9305,2645000,
94.0906,2650000,
94.2004,2655000,
94.1043,2660000,
93.9899,2665000,
94.0494,2670000,
93.9762,2675000,
94.0586,2680000,
94.2507,2685000,
94.0723,2690000,
94.1043,2695000,
93.9350,2700000,
94.3560,2705000,
93.8984,2710000,
94.0082,2715000,
94.0586,2720000,
94.0037,2725000,
94.1730,2730000,
94.0952,2735000,
93.9030,2740000,
94.0494,2745000,
94.1226,2750000,
94.3056,2755000,
93.9350,2760000,
94.1409,2765000,
93.9259,2770000,
94.0540,2775000,
94.2279,2780000,
94.0403,2785000,
94.1775,2790000,
94.0952,2795000,
94.2965,2800000,
94.0540,2805000,
94.0128,2810000,
93.9030,2815000,
94.0952,2820000,
93.9899,2825000,
93.9533,2830000,
93.8344,2835000,
94.1684,2840000,
94.0540,2845000,
94.0814,2850000,
94.5390,2855000,
94.2141,2860000,
93.8801,2865000,
94.1592,2870000,
94.0174,2875000,
94.0769,2880000,
94.0220,2885000,
93.9533,2890000,
94.2828,2895000,
94.0677,2900000,
94.1638,2905000,
93.9671,2910000,
93.9899,2915000,
94.1226,2920000,
93.9625,2925000,
93.9350,2930000,
94.0586,2935000,
93.9762,2940000,
93.9808,2945000,
94.0128,2950000,
94.2462,2955000,
93.8298,2960000,
94.0174,2965000,
93.8755,2970000,
94.2370,2975000,
93.8801,2980000,
94.0860,2985000,
94.1364,2990000,
93.9671,2995000,
93.9579,3000000,
94.1592,3005000,
94.2965,3010000,
93.8755,3015000,
94.1364,3020000,
93.9945,3025000,
93.9899,3030000,
93.9167,3035000,
94.0723,3040000,
94.0540,3045000,
94.2187,3050000,
94.3468,3055000,
94.0586,3060000,
93.9213,3065000,
94.1318,3070000,
94.1135,3075000,
94.1775,3080000,
94.0494,3085000,
93.9991,3090000,
94.0952,3095000,
94.1043,3100000,
94.3148,3105000,
93.9030,3110000,
94.0723,3115000,
94.1226,3120000,
93.9167,3125000,
94.0265,3130000,
94.0037,3135000,
93.9945,3140000,
94.0448,3145000,
94.0357,3150000,
94.2965,3155000,
94.1089,3160000,
93.9899,3165000,
93.9533,3170000,
93.9533,3175000,
93.9213,3180000,
94.1272,3185000,
93.9579,3190000,
93.9076,3195000,
94.1867,3200000,
94.1867,3205000,
94.1226,3210000,
94.0723,3215000,
94.0586,3220000,
94.0265,3225000,
94.0906,3230000,
94.0403,3235000,
94.0311,3240000,
93.9488,3245000,
94.0631,3250000,
94.2004,3255000,
93.8298,3260000,
93.8938,3265000,
94.0860,3270000,
94.0540,3275000,
94.1180,3280000,
93.9991,3285000,
94.1775,3290000,
93.9488,3295000,
94.0631,3300000,
94.2187,3305000,
93.9579,3310000,
93.9854,3315000,
93.9350,3320000,
94.2141,3325000,
94.0403,3330000,
94.0403,3335000,
93.9716,3340000,
93.9396,3345000,
94.0174,3350000,
94.2233,3355000,
93.9442,3360000,
94.0357,3365000,
94.1364,3370000,
93.9350,3375000,
94.0814,3380000,
94.1272,3385000,
93.9579,3390000,
93.9671,3395000,
93.9945,3400000,
94.1638,3405000,
93.8161,3410000,
94.1592,3415000,
94.1775,3420000,
93.8572,3425000,
94.0448,3430000,
94.1638,3435000,
94.0952,3440000,
93.8161,3445000,
94.0723,3450000,
94.1821,3455000,
93.9396,3460000,
94.0403,3465000,
93.9488,3470000,
94.0357,3475000,
94.0723,3480000,
93.9762,3485000,
94.0723,3490000,
93.9259,3495000,
94.0403,3500000,
94.2187,3505000,
94.0723,3510000,
93.9579,3515000,
94.1318,3520000,
94.0723,3525000,
94.0265,3530000,
94.0082,3535000,
94.0586,3540000,
94.1318,3545000,
93.9716,3550000,
94.4017,3555000,
94.0082,3560000,
94.1135,3565000,
94.1958,3570000,
94.0220,3575000,
93.9808,3580000,
93.8847,3585000,
93.9899,3590000,
93.9488,3595000,
94.1638,3600000,
94.3285,3605000,
94.0997,3610000,
94.1684,3615000,
94.0952,3620000,
94.0082,3625000,
94.1684,3630000,
94.1180,3635000,
94.1089,3640000,
94.0174,3645000,
94.0997,3650000,
94.4109,3655000,
93.9167,3660000,
93.9533,3665000,
94.0677,3670000,
94.0860,3675000,
94.0586,3680000,
94.0814,3685000,
94.0769,3690000,
94.0769,3695000,
93.9945,3700000,
94.3514,3705000,
94.0677,3710000,
94.0814,3715000,
93.9808,3720000,
94.0631,3725000,
94.0906,3730000,
94.0631,3735000,
93.9030,3740000,
94.1775,3745000,
94.0494,3750000,
94.3011,3755000,
93.9533,3760000,
93.9991,3765000,
93.9808,3770000,
94.0037,3775000,
93.9442,3780000,
94.0677,3785000,
94.0265,3790000,
94.0220,3795000,
93.9305,3800000,
94.3240,3805000,
93.9716,3810000,
93.9716,3815000,
94.1226,3820000,
93.9671,3825000,
94.0265,3830000,
94.2462,3835000,
93.8938,3840000,
93.9991,3845000,
94.1547,3850000,
94.3697,3855000,
94.0540,3860000,
94.0448,3865000,
94.9874,3870000,
94.8730,3875000,
94.0723,3880000,
94.0037,3885000,
94.2553,3890000,
94.0448,3895000,
94.0128,3900000,
94.2050,3905000,
94.1455,3910000,
93.9396,3915000,
93.8572,3920000,
94.1638,3925000,
94.0082,3930000,
93.8984,3935000,
93.9625,3940000,
93.8938,3945000,
93.7840,3950000,
94.2828,3955000,
94.1135,3960000,
93.9899,3965000,
93.9671,3970000,
94.0631,3975000,
94.0448,3980000,
93.8893,3985000,
94.1180,3990000,
93.8893,3995000,
93.9533,4000000,
94.3468,4005000,
94.0403,4010000,
94.0494,4015000,
93.9854,4020000,
94.0128,4025000,
94.0357,4030000,
94.1592,4035000,
94.1318,4040000,
93.9716,4045000,
93.8938,4050000,
94.1409,4055000,
93.9533,4060000,
94.0311,4065000,
93.9076,4070000,
94.1821,4075000,
94.2004,4080000,
93.9076,4085000,
94.0952,4090000,
93.8206,4095000,
93.9533,4100000,
94.1958,4105000,
94.1043,4110000,
94.0448,4115000,
93.9442,4120000,
93.9396,4125000,
93.9488,4130000,
94.0677,4135000,
94.0677,4140000,
94.1409,4145000,
94.0494,4150000,
94.3468,4155000,
94.0311,4160000,
94.1043,4165000,
93.9716,4170000,
93.9671,4175000,
93.9350,4180000,
94.2645,4185000,
93.9762,4190000,
93.9121,4195000,
93.8710,4200000,
94.2599,4205000,
93.8618,4210000,
94.1547,4215000,
93.9259,4220000,
93.8572,4225000,
93.9533,4230000,
94.0311,4235000,
93.9991,4240000,
94.0220,4245000,
94.0037,4250000,
94.3926,4255000,
93.9716,4260000,
94.0494,4265000,
94.0814,4270000,
94.3285,4275000,
93.9305,4280000,
94.1089,4285000,
94.1547,4290000,
94.2324,4295000,
94.0769,4300000,
94.1364,4305000,
93.9259,4310000,
94.0677,4315000,
93.9030,4320000,
93.9854,4325000,
93.9854,4330000,
94.0448,4335000,
94.1958,4340000,
94.1455,4345000,
93.9259,4350000,
94.2370,4355000,
94.2828,4360000,
94.1318,4365000,
93.9945,4370000,
94.0311,4375000,
94.0220,4380000,
93.8847,4385000,
94.0814,4390000,
94.0220,4395000,
94.0906,4400000,
94.2919,4405000,
94.0906,4410000,
93.9442,4415000,
94.1318,4420000,
93.9396,4425000,
93.9808,4430000,
93.8755,4435000,
94.0860,4440000,
93.9167,4445000,
94.1821,4450000,
94.4017,4455000,
94.0769,4460000,
94.0586,4465000,
93.8938,4470000,
93.9991,4475000,
94.0357,4480000,
93.9671,4485000,
93.9076,4490000,
94.0311,4495000,
93.9396,4500000,
94.1913,4505000,
94.0448,4510000,
94.0586,4515000,
93.8481,4520000,
93.8755,4525000,
94.0769,4530000,
94.0311,4535000,
94.2553,4540000,
94.0220,4545000,
94.0814,4550000,
94.1821,4555000,
93.9991,4560000,
93.9396,4565000,
94.0448,4570000,
93.9030,4575000,
94.0631,4580000,
94.1592,4585000,
94.0128,4590000,
94.0586,4595000,
93.8572,4600000,
94.2050,4605000,
94.0769,4610000,
94.1455,4615000,
94.1730,4620000,
94.1913,4625000,
93.9350,4630000,
93.8527,4635000,
94.1409,4640000,
93.9991,4645000,
94.0723,4650000,
94.2782,4655000,
93.9167,4660000,
94.0357,4665000,
94.0357,4670000,
93.9716,4675000,
94.1272,4680000,
94.0494,4685000,
93.9167,4690000,
94.0814,4695000,
93.9716,4700000,
94.3651,4705000,
93.9167,4710000,
94.1775,4715000,
94.0540,4720000,
94.0586,4725000,
94.1409,4730000,
94.0174,4735000,
94.0357,4740000,
93.9259,4745000,
94.0403,4750000,
94.3011,4755000,
94.1089,4760000,
93.9716,4765000,
94.0265,4770000,
93.9671,4775000,
94.0174,4780000,
